                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.58433,                0.32264,                0.97535,                 0.9686,                0.97582,                0.98744,                0.86322,                0.65437,                0.40049,                 1.1631,              0.0012819,              0.0012819,              0.0012819
                    107,                0.63913,                0.38735,                 1.0681,                 0.9775,                0.98851,                0.98659,                0.86958,                0.66833,                0.36439,                 1.1691,              0.0012805,              0.0012805,              0.0012805
                    108,                0.63245,                0.35194,                 1.0125,                0.97799,                0.98851,                0.98478,                0.84532,                0.67512,                0.40916,                 1.1963,               0.001279,               0.001279,               0.001279
                    109,                0.61105,                0.34771,                 1.0033,                0.96966,                0.97462,                0.98563,                0.85959,                0.65747,                0.47265,                 1.1438,              0.0012776,              0.0012776,              0.0012776
                    110,                0.60963,                0.35176,                 1.0392,                0.97451,                0.97527,                 0.9888,                0.84808,                0.66096,                0.37969,                  1.135,              0.0012762,              0.0012762,              0.0012762
                    111,                0.58829,                0.31362,                 1.0116,                0.96996,                0.98217,                0.98836,                0.87765,                 0.6281,                  0.352,                 1.1249,              0.0012748,              0.0012748,              0.0012748
                    112,                0.58073,                0.32304,                 1.0133,                0.97239,                      1,                0.98547,                0.86021,                0.62514,                 0.3757,                 1.1214,              0.0012734,              0.0012734,              0.0012734
                    113,                0.57635,                0.31014,                  1.003,                0.96362,                      1,                0.99011,                0.86838,                0.61845,                0.34719,                 1.1224,               0.001272,               0.001272,               0.001272
                    114,                 0.5984,                0.32164,                0.99446,                0.98055,                      1,                0.99089,                 0.8758,                0.61453,                0.33633,                 1.1322,              0.0012706,              0.0012706,              0.0012706
                    115,                0.59695,                0.32251,                  1.018,                0.98326,                0.99868,                0.99044,                0.86515,                0.65072,                0.35208,                 1.1421,              0.0012691,              0.0012691,              0.0012691
                    116,                0.57962,                0.34316,                 1.0256,                0.97518,                0.99081,                0.98856,                0.86199,                0.65804,                0.34203,                  1.147,              0.0012677,              0.0012677,              0.0012677
                    117,                0.57971,                0.32781,                 1.0238,                0.97235,                0.99703,                0.98778,                0.86789,                0.62625,                0.35627,                 1.1365,              0.0012663,              0.0012663,              0.0012663
                    118,                0.57321,                 0.3189,                0.99539,                0.97127,                0.99228,                0.98856,                0.86412,                0.61304,                0.34188,                 1.1115,              0.0012649,              0.0012649,              0.0012649
                    119,                0.59548,                0.31899,                 1.0056,                0.96672,                0.99403,                0.99311,                0.86709,                0.65221,                0.35037,                 1.1427,              0.0012635,              0.0012635,              0.0012635
                    120,                0.59271,                0.33155,                 1.0106,                0.97257,                0.98993,                0.99156,                0.87662,                0.62382,                0.33856,                 1.1151,              0.0012621,              0.0012621,              0.0012621
                    121,                0.58364,                0.33413,                 0.9944,                0.95198,                      1,                0.98958,                0.86959,                0.60614,                0.33933,                 1.0838,              0.0012606,              0.0012606,              0.0012606
